sentence,label,datatype,title,publication_date,file_id,-1,Profit,Dividend,MergerAcquisition,SalesVolume,BuyRating,QuarterlyResults,TargetPrice,ShareRepurchase,Turnover,Debt
"It will not say what it has spent on the project , but it is unlikely to be a large share of the annual pound(s)3bn capex bill .",-1,holdin,tesco,25-09-2013,833,1,0,0,0,0,0,0,0,0,0,0
"Sir John Bond , chairman , told the bank 's annual meeting that recent rises in interest rates and a slowing housing market were affecting consumer confidence and the level of bad debts .",-1,holdin,FT other HSBC,28-05-2005,393,1,0,0,0,0,0,0,0,0,0,0
Unilever was criticised by shareholders at its annual meeting in London last month for the lack of diversity on its board .,-1,holdin,unilever to broaden mix of board food producers,24-06-2006,569,1,0,0,0,0,0,0,0,0,0,0
"Mr Sarin 's statement came as he announced that he planned to step down as chief executive in July from the world 's largest mobile operator by revenue , and that Vittorio Colao , Vodafone 's deputy chief executive , would succeed him .",-1,holdin,sarin sees growth for vodafone in africa and asia as he heads for exit,28-05-2008,950,1,0,0,0,0,0,0,0,0,0,0
BASF was advised by Deutsche Bank .,-1,holdin,basf continues acquisition drive with $3bn agreed offer for ciba,16-09-2008,980,1,0,0,0,0,0,0,0,0,0,0
"Mr Cescau , Unilever 's chief executive , described Mr FitzGerald 's leaving as "" a negotiated departure "" , while Betrand Collomb , a non-executive director and chairman of the remuneration committee , added Mr FitzGerald had left to ensure a smooth management succession and it was "" a mutually agreed decision "" .",-1,holdin,FT other Unilever,12-05-2005,545,1,0,0,0,0,0,0,0,0,0,0
But it was n't just the dividend mix-up that left investors unimpressed .,-1,holdin,"misfortunes aside, tesco chief is no lemony snicket",21-04-2012,733,1,0,0,0,0,0,0,0,0,0,0
Vodafone misses out on big Footsie gains,-1,holdin,vodafone misses out on big footsie gains,11-05-2011,851,1,0,0,0,0,0,0,0,0,0,0
"Advertising agency WPP , which posts results this morning , gained 1.7 per cent to 441 1/2 p after in-line numbers from US peer Omnicom .",-1,holdin,vodafone benefits from robust results of us counterpart,28-04-2009,736,1,0,0,0,0,0,0,0,0,0,0
"It has paid out part of the Verizon Wireless dividend stream previously , but with a stock buyback already under way that looks less certain this time .",['ShareRepurchase'],holdin,verizonvodafone,15-05-2013,196,0,0,0,0,0,0,0,0,1,0,0
